名前,タイプ,威力,命中,PP,分類,"優先度
"
そらをとぶ,ひこう,70,95,15,物理,"0
"
たいあたり,ノーマル,35,95,35,物理,"0
"
だいばくはつ,ノーマル,170,100,5,物理,"0
"
だいもんじ,ほのお,120,85,5,特殊,"0
"
たきのぼり,みず,80,100,15,特殊,"0
"
たたきつける,ノーマル,80,75,20,物理,"0
"
ダブルニードル,むし,25,100,20,物理,"0
"
タマゴうみ,ノーマル,0,0,10,変化,"0
"
タマゴばくだん,ノーマル,100,75,10,物理,"0
"
たまなげ,ノーマル,15,85,20,物理,"0
"
ちいさくなる,ノーマル,0,0,20,変化,"0
"
ちきゅうなげ,かくとう,1,100,20,物理,"0
"
ちょうおんぱ,ノーマル,0,55,20,変化,"0
"
つつく,ひこう,35,100,35,物理,"0
"
つのでつく,ノーマル,65,100,25,物理,"0
"
つのドリル,ノーマル,1,30,5,物理,"0
"
つばさでうつ,ひこう,35,100,35,物理,"0
"
つるぎのまい,ノーマル,0,0,30,変化,"0
"
つるのムチ,くさ,35,100,10,特殊,"0
"
テクスチャー,ノーマル,0,0,30,変化,"0
"
テレポート,エスパー,0,0,20,変化,"0
"
でんきショック,でんき,40,100,30,特殊,"0
"
でんこうせっか,ノーマル,40,100,30,物理,"+1
"
でんじは,でんき,0,100,20,変化,"0
"
どくガス,どく,0,55,40,変化,"0
"
どくどく,どく,0,85,10,変化,"0
"
どくのこな,どく,0,75,35,変化,"0
"
どくばり,どく,15,100,35,物理,"0
"
とげキャノン,ノーマル,20,100,15,物理,"0
"
とける,どく,0,0,40,変化,"0
"
とっしん,ノーマル,90,85,20,物理,"0
"
とびげり,かくとう,70,95,25,物理,"0
"
とびひざげり,かくとう,85,90,20,物理,"0
"
トライアタック,ノーマル,80,100,10,物理,"0
"
ドリルくちばし,ひこう,80,100,20,物理,"0
"
ドわすれ,エスパー,0,0,20,変化,"0
"
ナイトヘッド,ゴースト,1,100,15,物理,"0
"
なきごえ,ノーマル,0,100,40,変化,"0
"
なみのり,みず,95,100,15,特殊,"0
"
にどげり,かくとう,30,100,30,物理,"0
"
にらみつける,ノーマル,0,100,30,変化,"0
"
ネコにこばん,ノーマル,40,100,20,物理,"0
"
ねむりごな,くさ,0,75,15,変化,"0
"
ねむる,エスパー,0,0,10,変化,"0
"
ねんりき,エスパー,50,100,25,特殊,"0
"
のしかかり,ノーマル,85,100,15,物理,"0
"
ハイドロポンプ,みず,120,80,5,特殊,"0
"
はかいこうせん,ノーマル,150,90,5,物理,"0
"
ハサミギロチン,ノーマル,1,30,5,物理,"0
"
はさむ,ノーマル,55,100,30,物理,"0
"
はたく,ノーマル,40,100,35,物理,"0
"
はっぱカッター,くさ,55,95,25,特殊,"0
"
はなびらのまい,くさ,70,100,20,特殊,"0
"
はねる,ノーマル,0,0,40,変化,"0
"
バブルこうせん,みず,65,100,20,特殊,"0
"
バリアー,エスパー,0,0,30,変化,"0
"
ひかりのかべ,エスパー,0,0,30,変化,"0
"
ひっかく,ノーマル,40,100,35,物理,"0
"
ひっさつまえば,ノーマル,80,90,15,物理,"0
"
ひのこ,ほのお,40,100,25,特殊,"0
"
ピヨピヨパンチ,ノーマル,70,100,10,物理,"0
"
ふきとばし,ノーマル,0,85,20,変化,"0
"
ふぶき,こおり,120,90,5,特殊,"0
"
ふみつけ,ノーマル,65,100,20,物理,"0
"
フラッシュ,ノーマル,0,70,20,変化,"0
"
ヘドロこうげき,どく,65,100,20,物理,"0
"
へびにらみ,ノーマル,0,75,30,変化,"0
"
へんしん,ノーマル,0,0,10,変化,"0
"
ほえる,ノーマル,0,100,20,変化,"0
"
ホネこんぼう,じめん,65,85,20,物理,"0
"
ホネブーメラン,じめん,50,90,10,物理,"0
"
ほのおのうず,ほのお,15,70,15,特殊,"0
"
ほのおのパンチ,ほのお,75,100,15,特殊,"0
"
まきつく,ノーマル,15,85,20,物理,"0
"
まるくなる,ノーマル,0,0,40,変化,"0
"
まわしげり,かくとう,60,85,15,物理,"0
"
みがわり,ノーマル,0,0,10,変化,"0
"
ミサイルばり,むし,14,85,20,物理,"0
"
みずでっぽう,みず,40,100,25,特殊,"0
"
みだれづき,ノーマル,15,85,20,物理,"0
"
みだれひっかき,ノーマル,18,80,15,物理,"0
"
メガドレイン,くさ,40,100,10,特殊,"0
"
メガトンキック,ノーマル,120,75,5,物理,"0
"
メガトンパンチ,ノーマル,80,85,20,物理,"0
"
ものまね,ノーマル,0,0,10,変化,"0
"
やどりぎのタネ,くさ,0,90,10,変化,"0
"
ゆびをふる,ノーマル,0,0,10,変化,"0
"
ゆめくい,エスパー,100,100,15,特殊,"0
"
ようかいえき,どく,40,100,30,物理,"0
"
ヨガのポーズ,エスパー,0,0,40,変化,"0
"
リフレクター,エスパー,0,0,20,変化,"0
"
りゅうのいかり,ドラゴン,1,100,10,特殊,"0
"
れいとうパンチ,こおり,75,100,15,特殊,"0
"
れいとうビーム,こおり,95,100,10,特殊,"0
"
れんぞくパンチ,ノーマル,18,85,15,物理,"0
"
ロケットずつき,ノーマル,100,100,15,物理,"0
"
わるあがき,ノーマル,50,100,1,物理,"0
"
