name,type,power,accuracy,pp,species,priority
メガホーン,むし,120,85,10,物理,0
めざめるパワー,ノーマル,1,100,15,物理,0
メタルクロー,はがね,50,95,35,物理,0
メロメロ,ノーマル,0,100,15,変化,0
ものまね,ノーマル,0,0,10,変化,0
やつあたり,ノーマル,1,100,20,物理,0
やどりぎのタネ,くさ,0,90,10,変化,0
ゆびをふる,ノーマル,0,0,10,変化,0
ゆめくい,エスパー,100,100,15,特殊,0
ようかいえき,どく,40,100,30,物理,0
ヨガのポーズ,エスパー,0,0,40,変化,0
リフレクター,エスパー,0,0,20,変化,0
りゅうのいかり,ドラゴン,1,100,10,特殊,0
りゅうのいぶき,ドラゴン,60,100,20,特殊,0
れいとうパンチ,こおり,75,100,15,特殊,0
れいとうビーム,こおり,95,100,10,特殊,0
れんぞくぎり,むし,10,95,20,物理,0
れんぞくパンチ,ノーマル,18,85,15,物理,0
ロケットずつき,ノーマル,100,100,15,物理,0
ロックオン,ノーマル,0,100,5,変化,0
わたほうし,くさ,0,85,40,変化,0
わるあがき,ノーマル,50,100,1,物理,0
