name,type,power,accuracy,pp,species,priority
こごえるかぜ,こおり,55,95,15,特殊,0
こごえるせかい,こおり,65,95,10,特殊,0
こころのめ,ノーマル,0,100,5,変化,0
コスモパワー,エスパー,0,0,20,変化,0
ゴッドバード,ひこう,140,90,5,物理,0
コットンガード,くさ,0,0,10,変化,0
こなゆき,こおり,40,100,25,特殊,0
このゆびとまれ,ノーマル,0,0,20,変化,+3
コメットパンチ,はがね,100,85,10,物理,0
こらえる,ノーマル,0,0,10,変化,+4
ころがる,いわ,30,90,20,物理,0
こわいかお,ノーマル,0,100,10,変化,0
サイケこうせん,エスパー,65,100,20,特殊,0
サイコウェーブ,エスパー,1,80,15,特殊,0
サイコカッター,エスパー,70,100,20,物理,0
サイコキネシス,エスパー,90,100,10,特殊,0
サイコシフト,エスパー,0,90,10,変化,0
サイコショック,エスパー,80,100,10,特殊,0
サイコブースト,エスパー,140,90,5,特殊,0
サイコブレイク,エスパー,100,100,10,特殊,0
サイドチェンジ,エスパー,0,0,15,変化,+1
さいみんじゅつ,エスパー,0,60,20,変化,0
さきおくり,あく,0,100,15,変化,0
さきどり,ノーマル,0,0,20,変化,0
さしおさえ,あく,0,100,15,変化,0
さばきのつぶて,ノーマル,100,100,10,特殊,0
さわぐ,ノーマル,90,100,10,特殊,0
シードフレア,くさ,120,85,5,特殊,0
シェルブレード,みず,75,95,10,物理,0
しおふき,みず,150,100,5,特殊,0
しおみず,みず,65,100,10,特殊,0
シグナルビーム,むし,75,100,15,特殊,0
じこあんじ,ノーマル,0,0,10,変化,0
じごくぐるま,かくとう,80,80,25,物理,0
じこさいせい,ノーマル,0,0,10,変化,0
シザークロス,むし,80,100,15,物理,0
じしん,じめん,100,100,10,物理,0
しぜんのちから,ノーマル,0,0,20,変化,0
しぜんのめぐみ,ノーマル,1,100,15,物理,0
したでなめる,ゴースト,20,100,30,物理,0
じたばた,ノーマル,1,100,15,物理,0
しっぺがえし,あく,50,100,10,物理,0
しっぽをふる,ノーマル,0,100,30,変化,0
じならし,じめん,60,100,20,物理,0
しねんのずつき,エスパー,80,90,15,物理,0
じばく,ノーマル,200,100,5,物理,0
しびれごな,くさ,0,75,30,変化,0
しぼりとる,ノーマル,1,100,5,特殊,0
しめつける,ノーマル,15,85,20,物理,0
ジャイロボール,はがね,1,100,5,物理,0
シャドークロー,ゴースト,70,100,15,物理,0
シャドーダイブ,ゴースト,120,100,5,物理,0
シャドーパンチ,ゴースト,60,0,20,物理,0
シャドーボール,ゴースト,80,100,15,特殊,0
じゅうでん,でんき,0,0,20,変化,0
じゅうりょく,エスパー,0,0,5,変化,0
しろいきり,こおり,0,0,30,変化,0
じわれ,じめん,1,30,5,物理,0
しんくうは,かくとう,40,100,30,特殊,+1
シンクロノイズ,エスパー,70,100,15,特殊,0
しんそく,ノーマル,80,100,5,物理,+2
じんつうりき,エスパー,80,100,30,特殊,0
しんぴのつるぎ,かくとう,85,100,10,特殊,0
しんぴのまもり,ノーマル,0,0,25,変化,0
シンプルビーム,ノーマル,0,100,15,変化,0
スイープビンタ,ノーマル,25,85,10,物理,0
すいとる,くさ,20,100,25,特殊,0
スカイアッパー,かくとう,85,90,15,物理,0
スキルスワップ,エスパー,0,0,10,変化,0
スケッチ,ノーマル,0,0,1,変化,0
ずつき,ノーマル,70,100,15,物理,0
すてみタックル,ノーマル,120,100,15,物理,0
ステルスロック,いわ,0,0,20,変化,0
ストーンエッジ,いわ,100,80,5,物理,0
すなあらし,いわ,0,0,10,変化,0
すなかけ,じめん,0,100,15,変化,0
すなじごく,じめん,35,85,15,物理,0
スパーク,でんき,65,100,20,物理,0
スピードスター,ノーマル,60,0,20,特殊,0
スプーンまげ,エスパー,0,80,15,変化,0
スモッグ,どく,20,70,20,特殊,0
すりかえ,あく,0,100,10,変化,0
せいちょう,ノーマル,0,0,20,変化,0
せいなるつるぎ,かくとう,90,100,20,物理,0
せいなるほのお,ほのお,100,95,5,物理,0
ぜったいれいど,こおり,1,30,5,特殊,0
ソーラービーム,くさ,120,100,10,特殊,0
ソニックブーム,ノーマル,1,90,20,特殊,0
そらをとぶ,ひこう,90,95,15,物理,0
ダークホール,あく,0,80,10,変化,0
たいあたり,ノーマル,50,100,35,物理,0
だいちのちから,じめん,90,100,10,特殊,0
だいばくはつ,ノーマル,250,100,5,物理,0
ダイビング,みず,80,100,10,物理,0
だいもんじ,ほのお,120,85,5,特殊,0
たきのぼり,みず,80,100,15,物理,0
だくりゅう,みず,95,85,10,特殊,0
たくわえる,ノーマル,0,0,20,変化,0
ダストシュート,どく,120,70,5,物理,0
たたきつける,ノーマル,80,75,20,物理,0
たたりめ,ゴースト,50,100,10,特殊,0
たつまき,ドラゴン,40,100,20,特殊,0
タネばくだん,くさ,80,100,15,物理,0
タネマシンガン,くさ,25,100,30,物理,0
ダブルアタック,ノーマル,35,90,10,物理,0
ダブルチョップ,ドラゴン,40,90,15,物理,0
ダブルニードル,むし,25,100,20,物理,0
タマゴうみ,ノーマル,0,0,10,変化,0
タマゴばくだん,ノーマル,100,75,10,物理,0
だましうち,あく,60,0,20,物理,0
たまなげ,ノーマル,15,85,20,物理,0
ダメおし,あく,50,100,10,物理,0
ちいさくなる,ノーマル,0,0,20,変化,0
ちきゅうなげ,かくとう,1,100,20,物理,0
チャージビーム,でんき,50,90,10,特殊,0
ちょうおんぱ,ノーマル,0,55,20,変化,0
ちょうのまい,むし,0,0,20,変化,0
ちょうはつ,あく,0,100,20,変化,0
ついばむ,ひこう,60,100,20,物理,0
つきのひかり,ノーマル,0,0,5,変化,0
つじぎり,あく,70,100,15,物理,0
つつく,ひこう,35,100,35,物理,0
つっぱり,かくとう,15,100,20,物理,0
つのでつく,ノーマル,65,100,25,物理,0
つのドリル,ノーマル,1,30,5,物理,0
つばさでうつ,ひこう,60,100,35,物理,0
つばめがえし,ひこう,60,0,20,物理,0
つぼをつく,ノーマル,0,0,30,変化,0
つめとぎ,あく,0,0,15,変化,0
つららおとし,こおり,85,90,10,物理,0
つららばり,こおり,25,100,30,物理,0
つるぎのまい,ノーマル,0,0,30,変化,0
つるのムチ,くさ,35,100,15,物理,0
テクスチャー,ノーマル,0,0,30,変化,0
テクスチャー2,ノーマル,0,0,30,変化,0
テクノバスター,ノーマル,85,100,5,特殊,0
てだすけ,ノーマル,0,0,20,変化,+5
てっぺき,はがね,0,0,15,変化,0
テレキネシス,エスパー,0,0,15,変化,0
テレポート,エスパー,0,0,20,変化,0
でんきショック,でんき,40,100,30,特殊,0
でんげきは,でんき,60,0,20,特殊,0
でんこうせっか,ノーマル,40,100,30,物理,+1
てんしのキッス,ノーマル,0,75,10,変化,0
でんじは,でんき,0,100,20,変化,0
でんじふゆう,でんき,0,0,10,変化,0
でんじほう,でんき,120,50,5,特殊,0
とおせんぼう,ノーマル,0,0,5,変化,0
とおぼえ,ノーマル,0,0,40,変化,0
ときのほうこう,ドラゴン,150,90,5,特殊,0
どくガス,どく,0,80,40,変化,0
どくづき,どく,80,100,20,物理,0
どくどく,どく,0,90,10,変化,0
どくどくのキバ,どく,50,100,15,物理,0
どくのこな,どく,0,75,35,変化,0
どくばり,どく,15,100,35,物理,0
どくびし,どく,0,0,20,変化,0
とぐろをまく,どく,0,0,20,変化,0
とげキャノン,ノーマル,20,100,15,物理,0
とける,どく,0,0,40,変化,0
とっしん,ノーマル,90,85,20,物理,0
とっておき,ノーマル,140,100,5,物理,0
とびげり,かくとう,100,95,25,物理,0
とびはねる,ひこう,85,85,5,物理,0
とびひざげり,かくとう,130,90,20,物理,0
ともえなげ,かくとう,60,90,10,物理,-6
トライアタック,ノーマル,80,100,10,特殊,0
ドラゴンクロー,ドラゴン,80,100,15,物理,0
ドラゴンダイブ,ドラゴン,100,75,10,物理,0
ドラゴンテール,ドラゴン,60,90,10,物理,-6
トリック,エスパー,0,100,10,変化,0
トリックルーム,エスパー,0,0,5,変化,-7
トリプルキック,かくとう,10,90,10,物理,0
ドリルくちばし,ひこう,80,100,20,物理,0
ドリルライナー,じめん,80,95,10,物理,0
ドレインパンチ,かくとう,75,100,10,物理,0
どろあそび,じめん,0,0,15,変化,0
どろかけ,じめん,20,100,10,特殊,0
どろばくだん,じめん,65,85,10,特殊,0
どろぼう,あく,40,100,10,物理,0
ドわすれ,エスパー,0,0,20,変化,0
とんぼがえり,むし,70,100,20,物理,0
ナイトバースト,あく,85,95,10,特殊,0
ナイトヘッド,ゴースト,1,100,15,特殊,0
なかまづくり,ノーマル,0,100,15,変化,0
なきごえ,ノーマル,0,100,40,変化,0
なげつける,あく,1,100,10,物理,0
なしくずし,ノーマル,70,100,20,物理,0
なまける,ノーマル,0,0,10,変化,0
なみのり,みず,95,100,15,特殊,0
なやみのタネ,くさ,0,100,10,変化,0
なりきり,エスパー,0,0,10,変化,0
ニードルアーム,くさ,60,100,15,物理,0
にぎりつぶす,ノーマル,1,100,5,物理,0
にどげり,かくとう,30,100,30,物理,0
ニトロチャージ,ほのお,50,100,20,物理,0
にほんばれ,ほのお,0,0,5,変化,0
にらみつける,ノーマル,0,100,30,変化,0
ねがいごと,ノーマル,0,0,10,変化,0
ねこだまし,ノーマル,40,100,10,物理,+3
ねごと,ノーマル,0,0,10,変化,0
ネコにこばん,ノーマル,40,100,20,物理,0
ねこのて,ノーマル,0,0,20,変化,0
ねっとう,みず,80,100,15,特殊,0
ねっぷう,ほのお,100,90,10,特殊,0
ねむりごな,くさ,0,75,15,変化,0
ねむる,エスパー,0,0,10,変化,0
ねをはる,くさ,0,0,20,変化,0
ねんりき,エスパー,50,100,25,特殊,0
のしかかり,ノーマル,85,100,15,物理,0
のみこむ,ノーマル,0,0,10,変化,0
のろい,???,0,0,10,変化,0
バークアウト,あく,55,95,15,特殊,0
ハートスタンプ,エスパー,60,100,25,物理,0
ハートスワップ,エスパー,0,0,10,変化,0
ハードプラント,くさ,150,90,5,特殊,0
ハードローラー,むし,65,100,20,物理,0
ハイドロカノン,みず,150,90,5,特殊,0
ハイドロポンプ,みず,120,80,5,特殊,0
ハイパーボイス,ノーマル,90,100,10,特殊,0
はかいこうせん,ノーマル,150,90,5,特殊,0
ばかぢから,かくとう,120,100,5,物理,0
はがねのつばさ,はがね,70,90,25,物理,0
はきだす,ノーマル,100,100,10,特殊,0
ばくれつパンチ,かくとう,100,50,5,物理,0
ハサミギロチン,ノーマル,1,30,5,物理,0
はさむ,ノーマル,55,100,30,物理,0
はじけるほのお,ほのお,70,100,15,特殊,0
はたきおとす,あく,20,100,20,物理,0
はたく,ノーマル,40,100,35,物理,0
はっけい,かくとう,60,100,10,物理,0
はっぱカッター,くさ,55,95,25,物理,0
はどうだん,かくとう,90,0,20,特殊,0
バトンタッチ,ノーマル,0,0,40,変化,0
はなびらのまい,くさ,120,100,10,特殊,0
はねやすめ,ひこう,0,0,10,変化,0
はねる,ノーマル,0,0,40,変化,0
バブルこうせん,みず,65,100,20,特殊,0
はめつのねがい,はがね,140,100,5,特殊,0
はらだいこ,ノーマル,0,0,10,変化,0
バリアー,エスパー,0,0,30,変化,0
バレットパンチ,はがね,40,100,30,物理,+1
パワーウィップ,くさ,120,85,10,物理,0
パワーシェア,エスパー,0,0,10,変化,0
パワージェム,いわ,70,100,20,特殊,0
パワースワップ,エスパー,0,0,10,変化,0
パワートリック,エスパー,0,0,10,変化,0
ヒートスタンプ,ほのお,1,100,10,物理,0
ひかりのかべ,エスパー,0,0,30,変化,0
ひっかく,ノーマル,40,100,35,物理,0
ひっさつまえば,ノーマル,80,90,15,物理,0
ひのこ,ほのお,40,100,25,特殊,0
ひみつのちから,ノーマル,70,100,20,物理,0
ピヨピヨパンチ,ノーマル,70,100,10,物理,0
ビルドアップ,かくとう,0,0,20,変化,0
ファストガード,かくとう,0,0,15,変化,+3
ふいうち,あく,80,100,5,物理,+1
ふういん,エスパー,0,0,10,変化,0
フェイント,ノーマル,30,100,10,物理,+2
フェザーダンス,ひこう,0,100,15,変化,0
ふきとばし,ノーマル,0,100,20,変化,-6
ふくろだたき,あく,10,100,10,物理,0
ふぶき,こおり,120,70,5,特殊,0
ふみつけ,ノーマル,65,100,20,物理,0
ブラストバーン,ほのお,150,90,5,特殊,0
フラッシュ,ノーマル,0,100,20,変化,0
フラフラダンス,ノーマル,0,100,20,変化,0
フリーズボルト,こおり,140,90,5,物理,0
フリーフォール,ひこう,60,100,10,物理,0
ふるいたてる,ノーマル,0,0,30,変化,0
フレアドライブ,ほのお,120,100,15,物理,0
ブレイククロー,ノーマル,75,95,10,物理,0
ブレイズキック,ほのお,85,90,10,物理,0
ブレイブバード,ひこう,120,100,15,物理,0
プレゼント,ノーマル,1,90,15,物理,0
ふんえん,ほのお,80,100,15,特殊,0
ふんか,ほのお,150,100,5,特殊,0
ヘドロウェーブ,どく,95,100,10,特殊,0
ヘドロこうげき,どく,65,100,20,特殊,0
ヘドロばくだん,どく,90,100,10,特殊,0
ベノムショック,どく,65,100,10,特殊,0
ヘビーボンバー,はがね,1,100,10,物理,0
へびにらみ,ノーマル,0,90,30,変化,0
へんしん,ノーマル,0,0,10,変化,0
ポイズンテール,どく,50,100,25,物理,0
ぼうぎょしれい,むし,0,0,10,変化,0
ほうでん,でんき,80,100,15,特殊,0
ぼうふう,ひこう,120,70,10,特殊,0
ほえる,ノーマル,0,100,20,変化,-6
ボーンラッシュ,じめん,25,90,10,物理,0
ほごしょく,ノーマル,0,0,20,変化,0
ほしがる,ノーマル,60,100,40,物理,0
ほたるび,むし,0,0,20,変化,0
ボディパージ,はがね,0,0,15,変化,0
ホネこんぼう,じめん,65,85,20,物理,0
ホネブーメラン,じめん,50,90,10,物理,0
ほのおのうず,ほのお,15,70,15,特殊,0
ほのおのキバ,ほのお,65,95,15,物理,0
ほのおのちかい,ほのお,50,100,10,特殊,0
ほのおのパンチ,ほのお,75,100,15,物理,0
ほのおのまい,ほのお,80,100,10,特殊,0
ボルテッカー,でんき,120,100,15,物理,0
ボルトチェンジ,でんき,70,100,20,特殊,0
ほろびのうた,ノーマル,0,0,5,変化,0
まきつく,ノーマル,15,85,20,物理,0
まきびし,じめん,0,0,20,変化,0
マグニチュード,じめん,1,100,30,物理,0
マグネットボム,はがね,60,0,20,物理,0
マグマストーム,ほのお,120,70,5,特殊,0
マジカルリーフ,くさ,60,0,20,特殊,0
マジックコート,エスパー,0,0,15,変化,+4
マジックルーム,エスパー,0,0,10,変化,-7
マッドショット,じめん,55,95,15,特殊,0
マッハパンチ,かくとう,40,100,30,物理,+1
まねっこ,ノーマル,0,0,20,変化,0
まもる,ノーマル,0,0,10,変化,+4
まるくなる,ノーマル,0,0,40,変化,0
まわしげり,かくとう,60,85,15,物理,0
みかづきのまい,エスパー,0,0,10,変化,0
みがわり,ノーマル,0,0,10,変化,0
みきり,かくとう,0,0,5,変化,+4
ミサイルばり,むし,14,85,20,物理,0
みずあそび,みず,0,0,15,変化,0
みずでっぽう,みず,40,100,25,特殊,0
ミストボール,エスパー,70,100,5,特殊,0
みずのちかい,みず,50,100,10,特殊,0
みずのはどう,みず,60,100,20,特殊,0
みずびたし,みず,0,100,20,変化,0
みだれづき,ノーマル,15,85,20,物理,0
みだれひっかき,ノーマル,18,80,15,物理,0
みちづれ,ゴースト,0,0,5,変化,0
みねうち,ノーマル,40,100,40,物理,0
みやぶる,ノーマル,0,0,40,変化,0
ミラーコート,エスパー,1,100,20,特殊,-5
ミラーショット,はがね,65,85,10,特殊,0
ミラータイプ,ノーマル,0,0,15,変化,0
みらいよち,エスパー,100,100,15,特殊,0
ミラクルアイ,エスパー,0,0,40,変化,0
ミルクのみ,ノーマル,0,0,10,変化,0
むしくい,むし,60,100,20,物理,0
むしのさざめき,むし,90,100,10,特殊,0
むしのていこう,むし,30,100,20,特殊,0
めいそう,エスパー,0,0,20,変化,0
メガドレイン,くさ,40,100,15,特殊,0
メガトンキック,ノーマル,120,75,5,物理,0
メガトンパンチ,ノーマル,80,85,20,物理,0
メガホーン,むし,120,85,10,物理,0
めざましビンタ,かくとう,60,100,10,物理,0
めざめるパワー,ノーマル,1,100,15,特殊,0
メタルクロー,はがね,50,95,35,物理,0
メタルバースト,はがね,1,100,10,物理,0
メロメロ,ノーマル,0,100,15,変化,0
ものまね,ノーマル,0,0,10,変化,0
もろはのずつき,いわ,150,80,5,物理,0
やきつくす,ほのお,30,100,15,特殊,0
やつあたり,ノーマル,1,100,20,物理,0
やどりぎのタネ,くさ,0,90,10,変化,0
やまあらし,かくとう,40,100,10,物理,0
ゆうわく,ノーマル,0,100,20,変化,0
ゆきなだれ,こおり,60,100,10,物理,-4
ゆびをふる,ノーマル,0,0,10,変化,0
ゆめくい,エスパー,100,100,15,特殊,0
ようかいえき,どく,40,100,30,物理,0
ヨガのポーズ,エスパー,0,0,40,変化,0
よこどり,あく,0,0,10,変化,+4
らいげき,でんき,130,85,5,物理,0
ラスターカノン,はがね,80,100,10,特殊,0
ラスターパージ,エスパー,70,100,5,特殊,0
リーフストーム,くさ,140,90,5,特殊,0
リーフブレード,くさ,90,100,15,物理,0
リサイクル,ノーマル,0,0,10,変化,0
リフレクター,エスパー,0,0,20,変化,0
リフレッシュ,ノーマル,0,0,20,変化,0
リベンジ,かくとう,60,100,10,物理,-4
りゅうせいぐん,ドラゴン,140,90,5,特殊,0
りゅうのいかり,ドラゴン,1,100,10,特殊,0
りゅうのいぶき,ドラゴン,60,100,20,特殊,0
りゅうのはどう,ドラゴン,90,100,10,特殊,0
りゅうのまい,ドラゴン,0,0,20,変化,0
りんしょう,ノーマル,60,100,15,特殊,0
れいとうパンチ,こおり,75,100,15,物理,0
れいとうビーム,こおり,95,100,10,特殊,0
れんごく,ほのお,100,50,5,特殊,0
れんぞくぎり,むし,20,95,20,物理,0
れんぞくパンチ,ノーマル,18,85,15,物理,0
ローキック,かくとう,60,100,20,物理,0
ロケットずつき,ノーマル,100,100,15,物理,0
ロックオン,ノーマル,0,100,5,変化,0
ロックカット,いわ,0,0,20,変化,0
ロッククライム,ノーマル,90,85,20,物理,0
ロックブラスト,いわ,25,90,10,物理,0
ワイドガード,いわ,0,0,10,変化,+3
ワイルドボルト,でんき,90,100,15,物理,0
わたほうし,くさ,0,85,40,変化,0
わるあがき,ノーマル,50,0,1,物理,0
わるだくみ,あく,0,0,20,変化,0
ワンダールーム,エスパー,0,0,10,変化,-7
